City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,sandnessjoen,66.0217,12.6316,282.44,98,75,3.09,NO,1686620736
185,vila velha,-20.3297,-40.2925,297.12,89,40,4.12,BR,1686620736
186,mafinga,-7.25,35.0667,289.81,84,19,1.1,TZ,1686620737
187,tindouf,27.6711,-8.1474,293.4,68,0,9.26,DZ,1686620737
188,hermanus,-34.4187,19.2345,288.6,86,100,13.14,ZA,1686620737
189,nova sintra,14.8667,-24.7167,294.31,85,100,9.43,CV,1686620737
190,mount isa,-20.7333,139.5,301.02,18,7,4.63,AU,1686620738
191,meulaboh,4.1363,96.1285,300.96,72,49,1.46,ID,1686620738
192,phatthalung,7.5,100.0833,303.95,59,42,2.44,TH,1686620738
193,thompson,55.7435,-97.8558,293.42,50,99,3.78,CA,1686620739
194,mwene-ditu,-7.0,23.45,292.63,61,15,1.29,CD,1686620739
195,selfoss,63.9331,-20.9971,279.84,80,3,2.18,IS,1686620739
196,carnarvon,-24.8667,113.6333,290.58,36,0,7.38,AU,1686620739
197,cabedelo,-6.9811,-34.8339,297.52,85,25,5.63,BR,1686620740
198,mil'kovo,55.6078,37.7956,281.88,79,1,2.9,RU,1686620740
199,as sulayyil,20.4607,45.5779,305.29,18,100,6.01,SA,1686620740
200,hadibu,12.65,54.0333,301.24,81,100,9.82,YE,1686620740
201,bonnyville,54.2668,-110.735,296.77,59,8,1.67,CA,1686620741
202,minas de marcona,-15.2119,-75.1103,285.47,85,83,8.36,PE,1686620741
203,touros,-5.1989,-35.4608,297.33,89,3,4.52,BR,1686620597
